"question","answers"
"Công ty nào là nhóm duy nhất lớn hơn Sony Music Entertainment?","Universal Music Group."
"Ai là trưởng khoa đầu tiên của phụ nữ Tây Bắc?","Frances Willard"
"Cộng hoà được kiểm soát như thế nào vào cuối Thế chiến II?","chính quyền Mỹ, Anh và Pháp"
"Các trụ sở của Liên đoàn Nhân quyền Quốc tế ở đâu?","Paris"
"Cùng với León, Bồ Đào Nha, Aragon và Castile, vương quốc Kitô giáo lớn nào đã tồn tại ở Iberia vào khoảng năm 1150?","Navarre"
"Khi nào Ahmad chiến đấu tại Akora Khattak?","tháng 12 năm 1826"
"Công ty quần áo nổi tiếng nào là cựu sinh viên BYU Matthew K. McCauley của?","Gymboree"
"Mục đích cuối cùng của nghi thức đấu sĩ là gì?","cái chết"
"Cải cách lịch Gregorian có bao nhiêu phần?","hai phần"
"Ai chịu trách nhiệm kiểm soát các khu vực chưa hợp nhất của các quận Tennessee?","Cảnh sát trưởng hạt"
"Miền nam hầu như không thể làm gì cho những tảng đá của họ?","ăn và mặc quần áo"
"Nếu ai đó đấu tranh với tình trạng kháng insulin, kết quả là bệnh tiểu đường có thể phát triển như thế nào?","type 2"
"Có bao nhiêu ca tử vong do HIV / AIDS tăng?","gấp bốn lần"
"Tổ chức nghệ thuật tên thường được đặt tên phụ trách phòng trưng bày nghệ thuật ở Bargate của Southampton là gì?","a space"
"Tuyên bố Doha đã làm gì?","chỉ ra rằng cần phải đọc thoả thuận TRIPS với mục tiêu của sức khoẻ cộng đồng và cho phép một số phương pháp phá vỡ độc quyền dược phẩm"
"Ai đã lãnh đạo định cư lâu dài đầu tiên của Anh ở châu Mỹ?","Thuyền trưởng John Smith"
"Nên dùng gì khi sử dụng tổ tiên để suy luận về các kiểu hình riêng lẻ?","thận trọng"
"Tên của kế hoạch Napoleon đã nghĩ ra để cắt đứt người Áo trong trận chiến là gì?","Landshut Maneuver"
"Một loại tinh bột ngũ cốc trở thành gì sau khi được mạch nha?","đường lên men"
"Tốc độ bit trung bình được sử dụng khi ai chọn giá trị trung bình cho bộ mã hoá để sử dụng?","người dùng"
"Tất cả các công ty trong danh sách Fortune 500 có trụ sở tại Oklahoma là gì?","năng lượng"
"Hoàng đế phương Tây Gratian đã từ chối văn phòng nào?","pontifex maximus"
"Ai duy trì tiêu chuẩn Unicode?","Unicode Consortium"
"Điều gì xác định hiệu quả nén của bộ mã hoá?","tốc độ bit"
"Tổ chức báo chí nào đã phát hành các báo cáo về thoả thuận của youtube với Mạng lưới Merlin?","Thời báo Tài chính"
"Baena làm việc cho gia đình Schwarzenegger / Shriver được bao nhiêu năm?","20"
"Kiến trúc Anh đã đi theo hướng nào vào giữa thế kỷ 18?","lý tưởng Greco-Roman cổ đại"
"Ai phát hiện ra loại thuốc cuối cùng được bán trên thị trường là Lyrica?","giáo sư hoá học Richard Silverman"
"Tạp chí nào Beyonce đặt ra trên trang bìa vào tháng 8 năm 2015?","Vogue"
"Trong vũ trụ học của Whitehead, những thứ duy nhất tồn tại cơ bản là gì?","dịp trải nghiệm"
"Đạo luật quy định thờ cúng công khai được thông qua năm nào?","1874"
"Ai đã giúp Bell điều tra tàu cánh ngầm vào năm 1908?","Frederick W. ""Casey"" Baldwin"
"Sau bài giảng của Arthur Eddington, Whitehead đã xuất bản những gì?","Quá trình và Hiện thực"
"Sao Hải Vương có được bao nhiêu phần trăm so với sao Thiên Vương?","40%"
"Ngoài sinh viên, nguồn vốn của các trường đại học tư là gì?","tập đoàn kinh doanh"
"Một số ban nhạc Cypriot kim loại nổi tiếng là gì?","Armageddon (rev.16: 16), Blynd, Winter's Verge và Quadraphonic"
"Ai là Chủ tịch Hạ viện từ năm 1953 đến 1955?","Joe Martin"
"Ai bao gồm thượng viện của Quốc hội Quần đảo Marshall?","mười hai thủ lĩnh bộ lạc"
"Sự phát triển của phòng không là câu trả lời cho sự tiến hoá của cái gì?","máy bay"
"Ai là tác giả của cuốn sách xuất bản đầu tiên phân loại con người thành các chủng tộc riêng biệt?","François Bernier"
"Ai đã tuyên thệ nhậm chức tổng thống lâm thời thứ hai của nước cộng hoà Trung Quốc?","Bắc Kinh, Shikai"
"Ai đã tiếp quản Đông Armenia trong thế kỷ 19?","Đế quốc Nga"
"Hai nước đã ký kết hoà bình riêng với Phổ?","Giống như Thuỵ Điển, Nga đã ký kết hoà bình riêng với Phổ."
"Đường Zhongshan và Hanzhong giao nhau trong khu vực nào của Nam Kinh?","ở trung tâm thành phố, Xinjie Khẩu"
"Ở xứ Wales, ai có khả năng đệ trình dự luật lên Toà án tối cao?","Tổng chưởng lý cho Wales hoặc Tổng chưởng lý"
"Nữ hoàng Victoria đã dành một đài tưởng niệm sau khi chết vì sự phục vụ biết ơn?","Disraeli"
"Tên của thời đại có trước sự sống trên Trái đất là gì?","Hadean Eon"
"Thành viên câu lạc bộ đã phát triển đến năm 2009 là gì?","170"
"Người tạo ra ông Benn và King Rollo đã học ở đâu?","Plymouth College of Art"
"Toà án tối cao xét xử những gì?","tất cả các vụ án khác"
"Gill nghĩ gì về việc phủ nhận hoàn toàn các bằng chứng đối lập bắt nguồn từ đâu?","động lực chính trị xã hội"
"Ai đã tạo ra Jarden des Plantes?","Guy de La Brosse"
"Ở tuổi nào Avicenna mất cha?","22"
"Các kênh của CBC có thể cần được di dời ở đâu để tiếp tục hoạt động?","2 đến 51"
"Cuộc chiến bảy năm đã thay đổi sự tập trung của nhà nước Anh từ thương mại sang bảo vệ châu Âu và bảo vệ thuộc địa nào?","thuộc địa của nó ở Bắc Mỹ"
"Ai là cha của Nữ hoàng Victorias?","Hoàng tử Edward, Công tước xứ Kent và Strathearn"
"Sản phẩm nào được đề xuất là một chất gây phản ứng sốc nhiệt mạnh?","kẽm pyrithione"
"Năm 1438, quyền kiểm soát Đế quốc La Mã thần thánh được truyền sang triều đại nào?","Habsburg"
"Cuốn sách nào được cho là khiến em gái của Augustus bị ngất?","6"
"Tổ chức nào đã phát triển vùng đất để mở rộng New Delhi vào những năm 1950?","Cục Công trình Công cộng Trung tâm"
"Những loại môi trường cung cấp cho các ứng dụng Windows bảo mật thêm?","môi trường hộp cát"
"Hoàng đế La Mã thần thánh nào đã thúc đẩy sự phát triển của Bohemia trong thế kỷ 14?","Charles IV"
"Mustaqbal Media Corporation có trụ sở ở đâu?","Mogadishu"
"Một cách hiệu quả nhiên liệu hơn cho máy bay STOVL cất cánh thay vì theo chiều dọc là gì?","sử dụng đường dốc và khởi động"
"Có thể làm gì khi một lượng nhỏ chì được thêm vào hợp kim?","cán nguội thành tấm"
"Nghị quyết 1564 của Hội đồng Bảo an Liên Hợp Quốc uỷ quyền năm 2004 là gì?","một Uỷ ban điều tra quốc tế về Darfur"
"Apple vẫn có lãi từ thời gian nào?","Steve Jobs trở lại"
"Truyện tranh dành cho người lớn bắt đầu được xuất bản ở định dạng nào?","uy tín"
"Đường cao tốc Cross Bronx chạy qua South Bronx theo hướng nào?","từ đông sang tây"
"Trước các cuộc xâm lược của người Hồi giáo, những kẻ xâm lược trước đó đã làm gì trong các nền văn hoá địa phương?","đồng hoá"
"Tiền vàng được giới thiệu lại lần đầu tiên ở khu vực nào?","Ý"
"Các nghiên cứu về bên trong của thực vật là gì?","Giải phẫu thực vật"
"Bên cạnh Edirne, Istanbul và Ai Cập, những địa điểm nào khác người ta có thể tìm thấy ảnh hưởng của thời kỳ cổ điển Ottoman?","Eritrea, Tunisia, Algiers, Balkans và Romania"
"Liệu người thua cuộc của chiếc cốc có được gì không?","người vào chung kết FA Cup thua sẽ được trao vị trí Europa League"
"Frédéric đã biểu diễn bao nhiêu buổi biểu diễn piano ở Vienna trong thời gian này?","hai"
"Áp lực lạm phát tiếp tục kéo dài bao lâu?","thế kỷ 13"
"Đảng liên bang của Hoa Kỳ đã phản đối điều gì?","Đảng Cộng hoà Dân chủ"
"Nhóm tôn giáo nào Nasser đang tìm cách để ra rìa?","Huynh đệ Hồi giáo"
"Trong khoảng thời gian nào Gondwana bắt đầu tan vỡ?","phú trong"
"Bao nhiêu hỗ trợ quân sự di Mỹ cung cấp cho Ai Cập trong năm 2015?","1,3 tỷ USD"
"Tờ báo nào được Landmark Communications xuất bản?","Style Weekly"
"Trong ngôn ngữ nào là văn học tôn giáo nhất của thời kỳ này được viết?","Latin"
"Trong cuộc chiến nào, các sĩ quan Pháp đã thiết lập trụ sở tại CAR?","Thế chiến thứ hai"
"A.C. Goode House theo phong cách kiến ​​trúc nào?","Neo Gothic"
"Khi nào một email tình cờ được gửi đến các sinh viên tiềm năng của Eton để đảm bảo một lời xin lỗi cá nhân cho mỗi gia đình?","tháng 7 năm 2015"
"Điều gì đã thúc đẩy sự ra đời của máy bay phóng từ tàu sân bay làm vũ khí đầu mối?","phạm vi vượt trội, tính linh hoạt và hiệu quả"
"Theo Hodgson, những gì mọi người chủ yếu là hậu duệ từ Ethio-Somalis?","Somalia"
"Ai đã lật đổ Bokassa sau sự cố này?","Pháp"
"Mục đích của một cuộc chạy đua vũ trang tiến hoá là gì?","giữ cho quần thể của cả hai loài ở trạng thái cân bằng"
"Chính phủ Mỹ đã phát triển như thế nào?","Chính phủ Mỹ đã phát triển từ một hệ thống liên bang kép sang một trong những liên bang liên kết."
"Những gì thường được thưởng thức để ăn dọc theo bờ biển của Myanmar?","Hải sản là một thành phần phổ biến ở các thành phố ven biển"
"Quốc gia nào có khoảng 10% số loài trên Trái đất?","Colombia"
"Giáo hoàng trở về Rome từ Avignon vào năm nào?","1377"
"Khi nào thì Imperial College đưa ra thông báo công khai đầu tiên về cái chết của Stefan Grimm?","4 tháng 12 năm 2014"
"Tuyên bố phê phán nổi tiếng nhất của Whitehead liên quan đến khái niệm Kitô giáo về Thiên Chúa là gì?","""Giáo hội đã ban cho Thiên Chúa những thuộc tính chỉ thuộc về Caesar."""
"Bao nhiêu phần trăm lớp BYU năm 2005 đã kết hôn?","Khoảng 51"
"Ai đã viết về chủ đề lý tưởng kiến ​​trúc tương phản với xây dựng đơn giản?","Le Corbusier"
"Khi nào Christopher Columbus đi thuyền đến Bahamas?","1492"
"Gia đình Charles là gì","Charles ""Lucky"" Luciano và cựu ông chủ của Chicago South Side Gang Johnny ""the Fox"" Torrio"
"Dấu Ferranti 1 được gửi đến đâu sau khi nó được phát triển?","Đại học Manchester"
"Trại tạm thời được gọi là gì?","ma'abarot"
"Bell đã quyết định trở về thành phố nào?","Boston"
"Các đội của đất nước nào mà các đội Mỹ đôi khi chơi các trò chơi triển lãm trong những năm 1980?","Liên Xô"
"Spielberg đã làm việc trên chương trình luật nào?","Owen Marshall: Tham tán luật pháp"
"Ai từ chối kết thúc chiến tranh với Attalid Pergamum và Rhodes đã dẫn đến Chiến tranh Macedonia lần thứ hai?","Philip"
"American Idol trở thành chương trình đắt giá nhất cho quảng cáo trên truyền hình vào mùa nào?","mùa bốn"
"Ai đã phát triển Transformator vào năm 1958?","Liên Xô"
"Có bao nhiêu thường dân Nhật Bản hy vọng sẽ giết trong cuộc tấn công dự định của họ vào San Diego?","hàng ngàn thường"
"Người Helvetii chiếm vùng nào?","phía tây"
"Những gì được cho là hoá thạch côn trùng lâu đời nhất được biết đến?","Devonia Rhyniognatha hirsti"
"Bao nhiêu phần trăm san hô Tuvalu đã bị tẩy trắng?","80%"
"Tập đoàn lớn nhất của các công ty khởi nghiệp ở Cork là gì?","Trung tâm Rubicon"
"Cấm kéo dài bao lâu?","cho đến năm 1933"
"Đài phát thanh toàn Ấn Độ là gì?","đài phát thanh công cộng"
"Một số loài bướm đêm và côn trùng cho thấy bằng chứng gì?","là người bản địa ở khu vực"
"Kích thước được gọi là giữa thế giới con người và thế giới kỹ thuật số là gì?","DigiQuartz"
"Ai xếp New York là kinh đô thời trang của thế giới?","Trình theo dõi ngôn ngữ toàn cầu"
"Tính năng tích hợp âm thanh nào đã trở thành tiêu chuẩn trên nhiều mẫu xe?","giắc cắm đầu vào âm thanh"
"Florida đã chịu bao nhiêu thiệt hại","Yêu cầu bồi thường thiệt hại về hố sụt đối với tài sản trong tiểu bang đã vượt quá tổng số 2 tỷ đô la từ năm 2006 đến năm 2010"
"Y-DNA được truyền qua như thế nào?","dòng patrilineal"
"Ai đi cùng em gái của Chopin đến Paris?","chồng và con gái"
